Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
41,2014-11-02,LAC,,SAC,1st,2:59.0,LAC down 6 (13-19),J. Farmar misses 3-pt shot from 25 ft,LAC down 6 (13-19)
42,2014-11-02,LAC,,SAC,1st,2:25.0,LAC down 8 (13-21),B. Griffin makes 2-pt shot from 2 ft (assist by J. Farmar),LAC down 6 (15-21)
43,2014-11-02,LAC,,SAC,1st,1:56.0,LAC down 8 (15-23),S. Hawes makes 2-pt shot from 7 ft (assist by C. Paul),LAC down 6 (17-23)
44,2014-11-02,LAC,,SAC,1st,1:17.0,LAC down 8 (17-25),B. Griffin misses 2-pt shot from 18 ft,LAC down 8 (17-25)
45,2014-11-02,LAC,,SAC,1st,0:49.0,LAC down 8 (17-25),B. Griffin misses 2-pt shot from 5 ft,LAC down 8 (17-25)
46,2014-11-02,LAC,,SAC,1st,0:47.0,LAC down 8 (17-25),B. Griffin misses 2-pt shot from 5 ft (block by J. Thompson),LAC down 8 (17-25)
47,2014-11-02,LAC,,SAC,1st,0:41.0,LAC down 8 (17-25),B. Griffin makes 2-pt shot from 2 ft,LAC down 6 (19-25)
48,2014-11-02,LAC,,SAC,1st,0:22.0,LAC down 6 (19-25),C. Douglas-Roberts misses 2-pt shot from 2 ft (block by J. Thompson),LAC down 6 (19-25)
49,2014-11-02,LAC,,SAC,1st,0:17.0,LAC down 6 (19-25),B. Griffin misses 2-pt shot at rim (block by N. Stauskas),LAC down 6 (19-25)
50,2014-11-02,LAC,,SAC,1st,0:01.0,LAC down 6 (19-25),B. Griffin misses 2-pt shot from 20 ft,LAC down 6 (19-25)
51,2014-11-02,LAC,,SAC,2nd,1:53.0,LAC up 2 (44-42),S. Hawes makes 2-pt shot from 8 ft (assist by C. Paul),LAC up 4 (46-42)
52,2014-11-02,LAC,,SAC,2nd,1:30.0,LAC up 2 (46-44),C. Paul misses 2-pt shot from 4 ft,LAC up 2 (46-44)
53,2014-11-02,LAC,,SAC,2nd,0:48.0,LAC up 3 (48-45),S. Hawes makes 3-pt shot from 27 ft (assist by C. Paul),LAC up 6 (51-45)
54,2014-11-02,LAC,,SAC,2nd,0:22.0,LAC up 6 (51-45),B. Griffin misses 2-pt shot from 17 ft,LAC up 6 (51-45)
55,2014-11-02,LAC,,SAC,3rd,1:14.0,LAC up 4 (72-68),C. Paul misses 2-pt shot from 18 ft,LAC up 4 (72-68)
56,2014-11-02,LAC,,SAC,3rd,0:38.0,LAC up 4 (72-68),C. Douglas-Roberts misses 3-pt shot from 23 ft,LAC up 4 (72-68)
57,2014-11-02,LAC,,SAC,4th,2:34.0,LAC down 2 (88-90),M. Barnes misses 3-pt shot from 26 ft,LAC down 2 (88-90)
58,2014-11-02,LAC,,SAC,4th,2:12.0,LAC down 2 (88-90),J. Redick misses 3-pt shot from 25 ft,LAC down 2 (88-90)
59,2014-11-02,LAC,,SAC,4th,1:40.0,LAC down 4 (88-92),D. Jordan makes 2-pt shot at rim (assist by B. Griffin),LAC down 2 (90-92)
60,2014-11-02,LAC,,SAC,4th,1:06.0,LAC down 2 (90-92),J. Redick misses 3-pt shot from 25 ft,LAC down 2 (90-92)
61,2014-11-02,LAC,,SAC,4th,0:44.0,LAC down 4 (90-94),S. Hawes misses 3-pt shot from 24 ft,LAC down 4 (90-94)
62,2014-11-02,LAC,,SAC,4th,0:21.0,LAC down 4 (90-94),B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul),LAC down 2 (92-94)
63,2014-11-02,LAC,,SAC,4th,0:12.0,LAC down 4 (92-96),B. Griffin misses 2-pt shot from 1 ft,LAC down 4 (92-96)
64,2014-11-02,LAC,,SAC,4th,0:07.0,LAC down 4 (92-96),C. Paul misses 3-pt shot from 24 ft,LAC down 4 (92-96)
65,2014-11-02,LAC,,SAC,4th,0:01.0,LAC down 6 (92-98),J. Redick misses 3-pt shot from 27 ft,LAC down 6 (92-98)
66,2014-11-03,LAC,,UTA,1st,2:48.0,LAC up 1 (17-16),B. Griffin makes 2-pt shot from 20 ft (assist by C. Paul),LAC up 3 (19-16)
67,2014-11-03,LAC,,UTA,1st,2:22.0,LAC up 3 (19-16),R. Bullock makes 3-pt shot from 25 ft (assist by C. Paul),LAC up 6 (22-16)
68,2014-11-03,LAC,,UTA,1st,1:47.0,LAC up 6 (22-16),D. Jordan makes 2-pt shot at rim (assist by C. Paul),LAC up 8 (24-16)
69,2014-11-03,LAC,,UTA,1st,1:15.0,LAC up 8 (24-16),J. Crawford misses 3-pt shot from 28 ft,LAC up 8 (24-16)
70,2014-11-03,LAC,,UTA,1st,0:39.0,LAC up 6 (24-18),B. Griffin misses 2-pt shot from 5 ft (block by R. Gobert),LAC up 6 (24-18)
